address,level,gainzPoints,Yuzu
0xf1dce502e5aad87aa753b60f337f3cda072c9be3,Platinum 🌟,0.22741555274593428,2110.005479338025
0xa9ad422a357b1e602b09916372523b3029123d44,Platinum 🌟,0.2135619675912258,2106.9711546391286
0x052d62a6479e3c027afff55385f2ba53ffe8ba58,Platinum 🌟,0.20806988774758892,2105.7682347211608
0x10139638fcb90e2edc67a78a4f90cba16a855e97,Platinum 🌟,0.20722091530532064,2105.5822858839833
0xe656b44258397ce52091658ed3fdbaceeb8b76c9,Platinum 🌟,0.19044868348704444,2101.9086954961176
0x3b6c81708dd0da308f62e86d32f4296d0d0efc82,Platinum 🌟,0.1794141949597335,2099.491832229014
0x3ed71751670ff36693c742caa88398a254cf2dc6,Platinum 🌟,0.17631560436324706,2098.813153758879
0xbafde4c19c3d316e7e215742428efcae526cfc38,Platinum 🌟,0.17489591732208612,2098.5022023765764
0x129b8515ff2f09866c46372f3231a0d39758614e,Platinum 🌟,0.17431206718772177,2098.374322779824
0x13699bb50f8c3f9681d12e3f825d110f3f2f81a3,Platinum 🌟,0.17310769504700815,2098.110531415176
0x83fd460f9face34a8c8c0d84f5c97d75dd263729,Platinum 🌟,0.1707432938937899,2097.592661077845
0x3a57689b86012f91e7a1869c014f0d534bb4e3ca,Platinum 🌟,0.16665555555448897,2096.697331438113
0x59bebee226237afccea2f26f477eecb39204604e,Platinum 🌟,0.16616556712856617,2096.590010194814
0x7b4a55ba007691f5846c81ffe1fc0c973f406094,Platinum 🌟,0.16615138888782552,2096.586904761413
0x3cac73fd487299351aa4f2dda3647ec49f10f463,Platinum 🌟,0.1660673773743006,2096.5685038776246
0xe8ada03cc3aa8d6e2f13b76fd21beac8bbbf305a,Platinum 🌟,0.16600338176065704,2096.5544870387394
0x167dab76621ea54841a2ecd15281df2c7bcee773,Platinum 🌟,0.16578692781471527,2096.5070775380927
0xe6dfd72f53c3415a7329b519ec5467d321b9d554,Platinum 🌟,0.16576686348540412,2096.5026828857835
0x862b010e35ded78851008cf52df05c41131ad54e,Platinum 🌟,0.16564867793138513,2096.4767969261848
0x71c67951a4a3052cc31dd74fe88f45daa4b29c1a,Platinum 🌟,0.16491998053153614,2096.31719170532
0xe26e0064d7d6a70928df53df71f83e5fb2de2972,Platinum 🌟,0.1637225387660775,2096.0549182877285
0xd05c2b64551275169235a93826ac4cec0553c409,Platinum 🌟,0.16347887168136327,2096.0015483444827
0x892e0765df4c85c7e727a31b00f256a56a38fea5,Platinum 🌟,0.1623872737911328,2095.762457711798
0x9d9c9fc95636c99dd689da945b91b0da0b87189c,Platinum 🌟,0.1622256944434062,2095.727067291184
0xb4f0c739fa3c9fcb577b7002d8c292f2078fb14f,Platinum 🌟,0.16208177083229602,2095.695543973352
0x27d099811425a31120cf4783df093c404978b849,Platinum 🌟,0.16188801795963462,2095.653106646087
